,Year,Transmission,Owner_Type,Engine (CC),Power (bhp),Price
184,2012.0,1,0,1199.0,73.9,4.2
185,2015.0,1,0,1461.0,108.5,6.75
186,2014.0,0,0,2143.0,201.1,32.0
187,2017.0,1,0,1197.0,83.1,7.5
188,2012.0,1,0,1582.0,126.32,4.6
189,2017.0,1,0,1086.0,68.05,4.04
190,2016.0,1,0,1997.0,120,10.31
191,2018.0,0,0,2179.0,187.7,55.76
192,2010.0,1,0,1399.0,68,2.6
193,2016.0,1,0,1248.0,88.5,8.5
194,2007.0,1,0,1498.0,98.6,2.95
195,2014.0,1,0,1498.0,98.6,3.5
196,2015.0,1,0,1197.0,78.9,3.55
197,2013.0,1,0,1498.0,98.6,3.25
198,2008.0,1,0,1896.0,106,4.5
199,2014.0,1,0,1461.0,83.8,5.35
200,2017.0,1,2,1493.0,100,6.5
201,2016.0,1,0,1248.0,88.5,9.0
202,2016.0,1,0,1197.0,81.83,6.0
203,2009.0,1,0,1390.0,85,2.75
204,2010.0,1,0,1193.0,64.1,1.5
205,2015.0,0,0,1968.0,174.33,19.9
206,2014.0,0,0,1798.0,177.5,10.0
207,2014.0,1,0,1364.0,67.06,3.0
208,2010.0,1,0,1595.0,120.7,2.11
209,2014.0,0,0,1595.0,120.7,11.96
210,2013.0,1,0,1498.0,98.6,3.25
211,2012.0,1,2,1582.0,126.32,4.75
212,2014.0,1,0,1461.0,83.8,5.95
213,2015.0,1,2,1591.0,67,8.15
214,2016.0,0,0,998.0,67,4.22
215,2010.0,0,0,1796.0,186,10.5
216,2012.0,0,0,2967.0,246.7,45.0
217,2012.0,1,2,1086.0,68.05,2.9
218,2017.0,0,0,1598.0,103.52,8.9
219,2017.0,0,0,1798.0,177.46,26.0
220,2018.0,1,0,1197.0,81.86,8.22
221,2014.0,1,2,1498.0,98.6,3.5
222,2004.0,1,2,998.0,67.1,1.25
223,2013.0,1,0,1461.0,65,3.7
224,2018.0,0,0,2143.0,167.62,39.41
225,2013.0,1,0,998.0,67.04,2.65
226,2015.0,1,2,1461.0,108.5,8.92
227,2013.0,1,0,1248.0,189.08,4.1
228,2017.0,0,0,1998.0,189.08,35.67
229,2015.0,1,0,1498.0,99,3.6
230,2007.0,1,2,1396.0,53.5,0.85
231,2016.0,1,2,1199.0,76.8,3.32
232,2012.0,1,0,1199.0,73.9,3.6
233,2016.0,1,0,1248.0,74,6.8
234,2012.0,1,0,1399.0,68.05,2.5
235,2019.0,0,0,2755.0,171.5,19.64
236,2011.0,0,2,2199.0,194.3,7.0
237,2011.0,1,0,1497.0,117.3,3.87
238,2018.0,1,0,1197.0,81.83,6.27
239,2015.0,0,0,2143.0,167.62,18.12
240,2013.0,1,0,936.0,57.6,2.65
241,2015.0,1,0,1396.0,88.73,7.2
242,2015.0,1,0,2494.0,100.6,14.3
243,2013.0,1,0,1248.0,88.76,6.9
244,2014.0,1,0,2494.0,102,10.75
245,2007.0,1,3,1086.0,117.3,0.95
246,2016.0,1,0,1497.0,117.3,8.09
247,2014.0,0,0,1995.0,184,18.5
248,2017.0,1,0,1120.0,70,4.75
249,2016.0,1,0,1248.0,88.5,8.45
250,2012.0,1,0,1598.0,103.6,3.5
251,2006.0,1,0,1493.0,82,1.8
252,2014.0,1,2,1498.0,103.6,3.7
253,2017.0,1,0,1199.0,88.7,7.17
254,2010.0,1,0,1086.0,68.05,1.75
255,2018.0,0,0,1995.0,183,21.99
256,2017.0,1,0,2393.0,147.8,18.65
257,2011.0,1,3,796.0,35,1.85
258,2017.0,1,2,1197.0,81.8,5.95
259,2014.0,1,0,1248.0,82,3.75
260,2012.0,1,0,1248.0,74,3.75
261,2008.0,1,0,1582.0,126.2,2.6
262,2006.0,1,0,1086.0,80,1.75
263,2010.0,1,0,1197.0,80,2.8
264,2017.0,0,0,2987.0,254.79,61.29
265,2014.0,1,2,2148.0,170,18.0
266,2014.0,1,0,1248.0,73.94,4.35
267,2016.0,1,0,1582.0,126.2,13.75
268,2010.0,1,0,998.0,66.1,2.0
269,2016.0,1,0,1461.0,108.45,10.0
270,2010.0,1,0,1248.0,76,1.65
271,2017.0,0,0,2993.0,258,45.77
272,2010.0,1,2,1197.0,78.9,3.25
273,2016.0,1,0,2494.0,102,12.8
274,2002.0,1,3,993.0,60,0.55
275,2018.0,1,0,1248.0,74,7.15
276,2013.0,1,2,2179.0,120,7.0
277,2017.0,1,0,1248.0,74,3.75
278,2017.0,1,0,999.0,123.24,8.5
279,2012.0,1,0,1248.0,74,4.35
280,2016.0,1,0,796.0,47.3,3.26
281,2011.0,1,0,1497.0,118,4.21
282,2018.0,0,0,2967.0,241.4,70.36
283,2009.0,0,2,1896.0,105,2.95
284,2012.0,1,0,1591.0,121.3,4.28
285,2009.0,0,0,1497.0,118,3.57
286,2013.0,1,0,1396.0,88.8,3.11
287,2014.0,0,0,1396.0,98.6,5.96
288,2011.0,1,0,1598.0,103.6,4.7
289,2014.0,1,0,1497.0,117.3,6.9
290,2018.0,1,0,1248.0,74,5.25
291,2015.0,0,0,1995.0,177,28.0
292,2009.0,1,0,1061.0,67,1.35
293,2015.0,1,0,1199.0,88.7,4.85
294,2012.0,1,0,1896.0,105,6.7
295,2010.0,1,0,1197.0,78.9,3.1
296,2015.0,0,0,2143.0,170,18.64
297,2012.0,1,0,1197.0,78.9,2.8
298,2016.0,1,0,2393.0,147.8,20.25
299,2015.0,0,0,1968.0,174.33,26.78
300,2010.0,1,2,2494.0,100.6,8.26
301,2015.0,1,0,1198.0,73.9,3.89
302,2011.0,1,0,998.0,67.1,2.1
303,2017.0,0,0,1497.0,70,12.69
304,2013.0,1,0,1405.0,70,2.58
305,2014.0,0,0,1968.0,174.33,20.77
306,2015.0,0,0,2143.0,136,20.26
307,2006.0,1,2,1086.0,67.04,1.5
308,2011.0,1,0,1248.0,67.04,2.5
309,2014.0,0,0,998.0,67.04,4.25
310,2017.0,0,0,2143.0,201.15,57.0
311,2017.0,0,0,2179.0,187.7,44.0
312,2011.0,1,0,1598.0,103.6,3.65
313,2012.0,1,0,796.0,35,2.05
314,2012.0,1,0,1198.0,86.8,3.13
315,2000.0,1,2,2956.0,83.1,1.5
316,2012.0,1,0,1248.0,75,2.85
317,2012.0,1,0,998.0,67.1,2.65
318,2015.0,1,0,2179.0,140,10.6
319,2008.0,1,2,1396.0,70,1.25
320,2018.0,1,0,1373.0,93.7,8.25
321,2011.0,0,0,2354.0,177.6,4.45
322,2012.0,1,0,1248.0,73.9,3.7
323,2009.0,1,0,1399.0,68,2.8
324,2008.0,1,0,1497.0,78,1.8
325,2014.0,0,0,1968.0,174.33,21.95
326,2011.0,0,0,2993.0,313,49.0
327,2017.0,0,0,2967.0,245,62.67
328,2008.0,1,0,998.0,67.1,1.4
329,2012.0,1,0,1396.0,90,5.5
330,2009.0,0,3,1197.0,78.9,2.95
331,2016.0,0,0,1199.0,88.7,6.86
332,2015.0,1,0,1248.0,74,6.15
333,2011.0,1,2,1197.0,82.85,3.3
334,2011.0,1,0,1198.0,73.9,2.55
335,2009.0,1,0,796.0,46.3,1.5
336,2004.0,0,2,1794.0,125,2.5
337,2006.0,1,2,796.0,46.3,1.4
338,2012.0,1,0,1248.0,88.8,3.4
339,2012.0,1,0,796.0,46.3,2.25
340,2013.0,0,0,1968.0,141,7.5
341,2008.0,0,0,1794.0,125,2.8
342,2016.0,1,0,1197.0,81.83,7.66
343,2016.0,1,0,1248.0,88.5,7.15
344,2010.0,1,0,1497.0,118,3.5
345,2014.0,1,2,1248.0,75,3.5
346,2013.0,1,0,1498.0,98.6,3.45
347,2016.0,1,0,814.0,55.2,3.55
348,2015.0,0,2,1995.0,190,25.99
349,2012.0,1,0,1582.0,126.32,5.25
350,2013.0,1,0,1248.0,88.8,2.9
351,2005.0,0,0,1984.0,227,2.05
352,2017.0,1,0,998.0,67.1,3.75
353,2014.0,1,0,1498.0,89.84,6.75
354,2011.0,1,2,995.0,62,0.95
355,2017.0,0,0,1999.0,177,52.0
356,2007.0,1,3,1997.0,141.1,3.91
357,2019.0,0,0,1798.0,177.46,27.3
358,2009.0,1,0,1197.0,78.9,2.7
359,2013.0,1,0,1248.0,74,3.5
360,2011.0,0,0,1197.0,83.14,6.2
361,2011.0,1,0,1461.0,63.1,2.75
362,2015.0,1,0,1248.0,74,3.25
363,2012.0,1,0,1399.0,67,3.25
364,2003.0,1,0,993.0,60,0.65
365,2017.0,1,0,1998.0,192,35.0
366,2014.0,1,0,1364.0,67.05,3.25
367,2018.0,1,0,796.0,47.3,2.9
368,2011.0,1,3,796.0,47,2.9
369,2009.0,0,2,2993.0,235,17.75
370,2015.0,0,2,2496.0,179.5,8.25
371,2015.0,0,0,1197.0,82,5.77
372,2017.0,1,0,1248.0,88.5,9.49
373,2008.0,0,3,2967.0,241.4,12.95
374,2015.0,0,0,2143.0,136,20.0
375,2007.0,1,3,796.0,37,1.0
376,2015.0,1,2,1461.0,83.8,7.1
377,2017.0,1,0,1364.0,87.2,16.5
378,2014.0,1,0,2148.0,170,26.0
379,2010.0,1,2,1248.0,73.9,3.2
380,2017.0,0,0,1497.0,117.3,9.48
381,2015.0,1,0,1120.0,71,4.0
382,2014.0,0,0,2143.0,203,26.5
383,2014.0,0,2,1595.0,120.7,11.77
384,2017.0,0,0,2143.0,204,37.0
385,2016.0,1,0,1497.0,117.3,8.75
386,2007.0,1,0,1086.0,118,1.95
387,2011.0,1,0,1497.0,118,3.75
388,2010.0,1,0,1599.0,103.2,2.5
389,2017.0,0,0,1999.0,246.74,34.5
390,2015.0,1,0,1198.0,86.7,4.65
391,2015.0,0,0,1598.0,122,32.0
392,2017.0,0,0,2987.0,282,62.81
393,2014.0,1,0,814.0,55.2,3.25
394,2014.0,1,0,998.0,67.04,3.1
395,2011.0,1,0,1248.0,73.9,3.91
396,2011.0,0,0,1995.0,181,11.0
397,2014.0,1,0,2179.0,138.03,3.5
398,2014.0,0,0,1968.0,143,16.5
399,2012.0,0,0,2179.0,187.7,30.0
400,2010.0,0,2,2987.0,224,28.0
401,2018.0,0,0,2477.0,175.56,28.0
402,2010.0,1,0,796.0,46.3,0.92
403,2013.0,1,0,1061.0,64,2.75
404,2017.0,0,0,2179.0,187.7,53.83
405,2011.0,1,2,1591.0,121.3,4.95
406,2013.0,0,0,2993.0,218,33.5
407,2013.0,0,0,2993.0,270.9,27.95
408,2010.0,0,0,1798.0,157.75,7.25
409,2017.0,0,0,1968.0,174.33,25.71
410,2014.0,0,0,2179.0,187.7,29.67
411,2013.0,0,0,2143.0,170,19.0
412,2017.0,1,0,2179.0,120,13.05
413,2015.0,0,0,1995.0,190,25.5
414,2017.0,1,0,1497.0,117.3,8.5
415,2010.0,0,2,2400.0,215,7.25
416,2005.0,1,0,1495.0,94,0.8
417,2017.0,1,0,1197.0,81.86,6.9
418,2018.0,0,0,2996.0,367,70.99
419,2015.0,1,2,814.0,55.2,2.25
420,2018.0,1,0,1197.0,81.86,5.5
421,2013.0,1,0,1493.0,100,4.35
422,2010.0,1,0,1198.0,73.9,2.25
423,2016.0,1,0,1798.0,187.74,24.5
424,2010.0,1,0,1968.0,121.3,5.45
425,2017.0,1,0,1591.0,121.3,12.03
426,2011.0,0,2,1796.0,186,8.5
427,2014.0,0,0,1998.0,189.08,28.5
428,2006.0,1,2,1086.0,67.04,1.2
429,2013.0,1,0,1364.0,67.04,5.75
430,2014.0,1,2,1198.0,86.8,3.2
431,2018.0,0,0,1197.0,83.1,9.89
432,2012.0,0,0,1968.0,138.1,6.58
433,2018.0,1,0,814.0,55.2,4.06
434,2019.0,1,0,1461.0,108.45,13.37
435,2011.0,0,0,2993.0,258,25.82
436,2016.0,1,0,796.0,47.3,3.74
437,2015.0,0,2,1984.0,150,22.0
438,2007.0,1,0,998.0,67.1,1.45
439,2008.0,1,0,1497.0,78,2.0
440,2017.0,1,0,1196.0,73,4.7
441,2014.0,1,0,1399.0,98.79,3.75
442,2016.0,1,0,2523.0,62.1,7.7
443,2012.0,1,0,1086.0,55.2,3.35
444,2014.0,1,0,814.0,55.2,2.6
445,2017.0,0,0,1591.0,103.5,13.77
446,2017.0,1,2,1598.0,103.5,7.1
447,2008.0,0,2,1799.0,130,2.65
448,2014.0,1,0,1248.0,74,2.5
449,2013.0,1,0,2179.0,140,7.53
450,2017.0,1,0,1197.0,81.83,7.98
451,2014.0,0,2,1968.0,174.3,39.0
452,2011.0,1,2,1197.0,85.8,2.25
453,2010.0,1,2,1999.0,114,3.85
454,2015.0,1,0,2494.0,102,13.5
455,2016.0,1,0,793.0,47,3.5
456,2018.0,1,0,1248.0,88.5,8.92
457,2016.0,0,0,1968.0,181,20.37
458,2016.0,0,0,1995.0,190,36.5
459,2016.0,0,0,4134.0,335.2,48.91
460,2016.0,1,0,1197.0,81.83,7.2
461,2012.0,1,0,1461.0,108.45,5.99
462,2016.0,1,0,1120.0,71,5.25
463,2014.0,1,0,1498.0,89.84,6.5
464,2013.0,1,0,1198.0,73.9,4.4
465,2017.0,1,0,1120.0,70,4.6
466,2013.0,1,0,1248.0,88.8,2.95
467,2011.0,1,0,1497.0,118,3.26
468,2008.0,1,2,1086.0,62.1,2.22
469,2012.0,1,0,2494.0,100,10.5
470,2017.0,1,0,1248.0,88.5,8.26
471,2013.0,1,0,2982.0,169,14.45
472,2009.0,1,2,1596.0,191.34,2.5
473,2018.0,0,0,1950.0,191.34,51.43
474,2014.0,1,0,2148.0,170,23.0
475,2012.0,1,0,1968.0,108.49,5.5
476,2015.0,1,0,1197.0,82,4.5
477,2018.0,1,0,1196.0,86.8,6.8
478,2013.0,1,0,1395.0,138.02,8.75
479,2015.0,1,2,1461.0,83.8,7.0
480,2015.0,0,2,1999.0,177,33.5
481,2011.0,1,2,1399.0,68,2.25
482,2008.0,0,2,2953.0,156,4.24
483,2017.0,1,0,2982.0,168.5,28.42
484,2012.0,1,0,1199.0,73.9,2.75
485,2011.0,1,0,1248.0,73.94,3.0
486,2013.0,1,0,1461.0,63.1,3.55
487,2013.0,1,0,1582.0,126.32,4.8
488,2011.0,0,0,2497.0,150,13.5
489,2017.0,0,0,2987.0,258,56.0
490,2004.0,0,0,2354.0,187.4,3.99
491,2016.0,0,0,1086.0,126.2,15.5
492,2010.0,1,2,1086.0,68.05,2.32
493,2016.0,0,0,2143.0,136,18.58
494,2014.0,1,0,1373.0,93.7,5.5
495,2006.0,1,2,1896.0,66,3.2
496,2015.0,1,0,1198.0,86.7,4.0
497,2004.0,1,0,993.0,60,1.6
498,2013.0,1,0,1586.0,103.3,4.15
499,2014.0,0,0,1198.0,86.8,4.25
500,2011.0,1,0,998.0,67.1,2.6
501,2008.0,0,2,2362.0,164.7,3.43
502,2012.0,1,0,1199.0,79.4,2.55
503,2017.0,0,0,2982.0,168.5,32.0
504,2014.0,1,0,1498.0,89.84,6.25
505,2010.0,1,2,1248.0,75,3.6
506,2010.0,0,0,2987.0,282,18.5
507,2015.0,1,2,1497.0,117.3,4.25
508,2017.0,1,2,1197.0,82,4.8
509,2015.0,0,0,2179.0,140,13.0
510,2012.0,1,2,1598.0,105,2.25
511,2009.0,1,0,1086.0,62.1,2.3
512,2019.0,1,0,1591.0,121.3,13.56
513,2017.0,1,0,1997.0,120,12.25
514,2013.0,1,0,1598.0,103.5,3.76
515,2015.0,1,0,1461.0,108.45,8.58
516,2011.0,0,0,2993.0,245,27.5
517,2013.0,1,0,1496.0,88.73,4.95
518,2012.0,1,0,998.0,67.04,3.3
519,2016.0,1,0,1591.0,121.3,8.0
520,2014.0,1,0,998.0,67.04,2.79
521,2017.0,0,0,2179.0,187.7,45.64
522,2014.0,1,0,1199.0,76.8,2.55
523,2014.0,1,2,624.0,37.5,1.0
524,2017.0,0,0,1968.0,174.33,37.56
525,2009.0,0,2,2987.0,198.5,9.29
526,2019.0,1,0,1197.0,81.8,6.37
527,2013.0,1,0,1368.0,112,2.98
528,2017.0,1,0,1197.0,81.8,5.75
529,2010.0,1,0,2982.0,171,13.0
530,2014.0,1,0,1373.0,93.7,6.8
531,2010.0,0,0,1995.0,154,10.49
532,2014.0,1,0,1373.0,93.7,5.6
533,2010.0,0,2,2199.0,118,2.85
534,2013.0,1,0,2199.0,194.3,8.36
535,2005.0,1,0,1405.0,70,1.0
536,2010.0,0,2,2497.0,204,10.75
537,2011.0,1,0,1248.0,73.9,3.85
538,2012.0,1,0,1399.0,67,3.0
539,2015.0,0,0,1497.0,117.3,9.6
540,2012.0,1,0,2982.0,168.5,13.25
541,2016.0,1,0,1198.0,86.7,5.75
542,2014.0,1,0,1396.0,88.73,6.75
543,2013.0,1,2,1248.0,73.8,4.85
544,2019.0,0,0,1950.0,181.43,38.99
545,2009.0,0,0,1586.0,103.2,2.85
546,2012.0,1,0,2494.0,100,9.51
547,2012.0,0,2,1995.0,177,18.5
548,2015.0,1,0,1461.0,108.45,6.75
549,2017.0,0,0,1995.0,190,29.4
550,2009.0,1,0,1497.0,78,3.29
551,2016.0,1,0,1248.0,88.5,9.5
552,2010.0,1,2,1298.0,85.8,2.2
553,2012.0,1,0,2179.0,140,6.5
554,2007.0,1,0,1799.0,130,4.9
555,2013.0,1,2,1248.0,88.5,6.75
556,2013.0,1,0,1364.0,67.04,3.8
557,2013.0,0,0,1984.0,207.8,29.5
558,2017.0,1,0,1498.0,108.4,10.5
559,2015.0,1,0,1498.0,88.8,6.2
560,2009.0,0,0,1896.0,105,5.0
561,2007.0,1,0,1461.0,65,2.3
562,2016.0,0,0,2755.0,171.5,17.0
563,2014.0,0,0,1995.0,184,25.5
564,2015.0,1,0,1498.0,98.6,5.65
565,2015.0,1,0,1498.0,98.6,5.6
566,2015.0,0,0,2179.0,187.7,29.98
567,2016.0,1,0,1248.0,74,7.39
568,2018.0,1,0,1956.0,170,19.0
569,2010.0,1,0,1794.0,132,5.0
570,2011.0,1,0,1497.0,118,3.35
571,2013.0,1,0,1197.0,85.8,4.45
572,2019.0,0,0,1582.0,126.32,8.31
573,2012.0,1,2,2523.0,62.1,6.0
574,2014.0,1,0,1248.0,74,5.25
575,2006.0,1,0,1086.0,174.33,1.4
576,2012.0,0,0,1968.0,174.33,12.3
577,2004.0,1,3,1299.0,70,1.5
578,2018.0,1,0,1498.0,88,8.12
579,2012.0,1,0,2523.0,63,6.12
580,2017.0,1,0,1498.0,98.6,10.88
581,2014.0,1,0,1199.0,82.5,3.5
582,2016.0,1,0,1197.0,81.83,6.15
583,2016.0,0,0,1995.0,184,33.0
584,2012.0,0,0,1995.0,177,13.5
585,2015.0,0,0,2982.0,168.5,17.11
586,2014.0,0,0,4134.0,335.2,29.77
587,2013.0,1,0,1248.0,88.76,5.95
588,2015.0,1,0,1197.0,80,5.75
589,2006.0,0,2,3498.0,364.9,19.0
590,2014.0,1,0,1461.0,83.8,4.75
591,2013.0,0,2,1493.0,100,3.3
592,2013.0,0,0,2982.0,168.5,16.5
593,2014.0,0,0,2993.0,258,44.0
594,2011.0,1,0,1248.0,74,4.39
595,2018.0,1,0,1248.0,74,6.2
596,2016.0,0,0,1984.0,177.01,24.22
597,2008.0,1,3,2835.0,107.2,5.45
598,2016.0,0,0,2179.0,187.7,44.0
599,2019.0,0,0,2755.0,171.5,24.82
600,2015.0,0,0,1968.0,141,11.69
