,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage (kmpl),Engine (CC),Power (bhp),Seats,Price
117,1385,3,2016.0,39882.0,4,0,0,19.2,1198.0,75.94,5.0,6.55
118,103,9,2009.0,128000.0,4,0,0,10.8,2497.0,215,5.0,7.0
119,1180,9,2016.0,55000.0,1,1,0,24.3,1248.0,88.5,5.0,7.5
120,604,9,2005.0,102000.0,4,1,2,17.0,1086.0,107.3,5.0,0.85
121,1240,10,2014.0,53753.0,1,0,2,15.0,2143.0,107.3,5.0,16.75
122,650,8,2018.0,10250.0,1,1,0,22.0,1582.0,126.2,5.0,10.95
123,1197,10,2011.0,43874.0,4,1,0,18.9,998.0,67.1,5.0,2.45
124,1625,3,2017.0,32684.0,4,0,0,21.9,624.0,37.48,4.0,3.23
125,889,8,2014.0,42000.0,1,1,0,12.1,2179.0,120,8.0,7.75
126,1304,8,2009.0,28352.0,4,0,0,11.7,1796.0,178,5.0,9.35
127,1200,10,2013.0,89900.0,0,1,0,26.6,998.0,58.16,5.0,3.25
128,402,1,2007.0,47700.0,4,1,2,10.8,2354.0,152,5.0,5.25
129,1839,10,2015.0,55000.0,1,0,0,21.2,1498.0,103.2,5.0,7.25
130,1030,7,2017.0,54000.0,4,1,0,20.7,1373.0,91.1,5.0,7.47
131,914,6,2016.0,54000.0,1,0,0,16.0,2179.0,140,7.0,13.25
132,1094,3,2016.0,30232.0,4,1,0,21.1,1197.0,85.8,5.0,5.81
133,965,5,2014.0,88500.0,4,1,0,24.1,998.0,67.1,5.0,2.6
134,1342,8,2017.0,13372.0,4,0,0,19.0,2996.0,362.07,2.0,54.0
135,662,7,2019.0,12645.0,4,0,0,17.0,1591.0,121.3,5.0,11.5
136,972,2,2010.0,94385.0,4,1,2,19.7,796.0,46.3,5.0,1.6
137,70,3,2015.0,31821.0,1,0,0,20.6,1995.0,143,5.0,17.22
138,474,9,2015.0,12000.0,4,0,0,19.0,1199.0,88.7,5.0,6.0
139,466,4,2012.0,88578.0,4,1,0,13.5,1799.0,130,5.0,3.95
140,1318,7,2014.0,44965.0,1,0,0,19.3,2143.0,170,5.0,17.95
141,370,8,2014.0,45044.0,1,1,0,25.8,1498.0,98.6,5.0,3.7
142,1164,7,2016.0,34204.0,4,1,0,22.0,1197.0,81.8,5.0,5.43
143,607,7,2008.0,80759.0,4,1,3,17.0,1086.0,171,5.0,1.67
144,1731,3,2012.0,91235.0,1,1,0,11.5,2982.0,171,7.0,13.49
145,171,10,2014.0,38800.0,4,1,0,18.6,1199.0,76.8,5.0,2.85
146,1517,2,2013.0,83000.0,1,1,0,21.1,1498.0,103.52,5.0,4.75
147,1019,7,2018.0,41283.0,4,1,0,20.7,1373.0,91.1,5.0,9.9
148,67,9,2013.0,23000.0,4,0,0,11.1,2894.0,444,4.0,37.0
149,93,9,2014.0,48000.0,1,0,0,21.8,1995.0,190,5.0,26.5
150,8,3,2015.0,48214.0,1,0,0,17.1,1968.0,174.33,5.0,23.32
151,1159,2,2016.0,35000.0,1,1,0,22.9,1248.0,74,5.0,6.25
152,1337,8,2010.0,35277.0,4,0,0,7.8,5461.0,362.9,5.0,30.0
153,1513,3,2016.0,54620.0,1,0,0,21.7,1498.0,103.52,5.0,9.86
154,1550,10,2012.0,136997.0,1,0,0,17.2,1968.0,138.1,5.0,8.5
155,532,7,2019.0,14322.0,4,1,0,21.1,814.0,55.2,5.0,4.23
156,1825,6,2012.0,65634.0,1,1,0,22.1,1199.0,73.9,5.0,3.5
157,201,8,2016.0,6000.0,4,1,0,20.6,1198.0,67.06,5.0,2.5
158,391,8,2013.0,33280.0,4,1,0,19.4,1198.0,86.8,5.0,2.39
159,1239,4,2013.0,29000.0,4,0,0,14.8,1595.0,120.7,5.0,11.25
160,437,7,2015.0,42831.0,1,1,0,26.0,1498.0,98.6,5.0,7.11
161,1745,0,2016.0,90000.0,1,1,0,13.0,2494.0,100.6,7.0,10.9
162,1169,0,2017.0,24005.0,4,1,0,20.4,1197.0,81.8,5.0,6.2
163,924,9,2012.0,32792.0,1,1,0,15.1,2179.0,140,7.0,7.9
164,256,7,2014.0,147898.0,1,1,0,22.7,1498.0,89.84,5.0,4.42
165,1736,9,2012.0,131765.0,1,1,0,13.0,2982.0,168.5,7.0,13.5
166,1837,2,2013.0,65000.0,1,0,0,21.5,1498.0,108.5,5.0,6.25
167,329,6,2010.0,66123.0,1,1,2,20.0,1399.0,68,5.0,2.1
168,149,9,2015.0,41000.0,1,0,0,15.3,2993.0,258,5.0,45.0
169,1323,3,2017.0,23550.0,1,0,0,19.3,2143.0,167.62,5.0,33.66
170,394,1,2012.0,45000.0,4,1,2,19.4,1198.0,86.8,5.0,3.65
171,698,4,2013.0,60000.0,4,1,0,20.4,1197.0,78.9,5.0,2.75
172,1288,1,2016.0,44414.0,1,0,0,17.9,2143.0,81.86,5.0,42.5
173,557,8,2019.0,1000.0,4,1,0,18.9,1197.0,81.86,5.0,6.5
174,28,9,2012.0,62500.0,1,0,2,17.7,1968.0,174.33,5.0,19.0
175,1856,9,2013.0,21000.0,4,0,2,14.4,1598.0,103.6,5.0,4.45
176,1355,6,2017.0,8525.0,1,0,2,16.6,1998.0,112,5.0,23.0
177,751,1,2014.0,29000.0,1,1,0,22.5,1396.0,88.73,5.0,8.35
178,28,9,2014.0,40000.0,1,0,0,17.7,1968.0,174.33,5.0,22.95
179,167,6,2012.0,88000.0,1,1,0,25.4,936.0,57.6,5.0,1.5
180,1548,7,2012.0,53537.0,4,0,0,13.7,1798.0,157.75,5.0,6.89
181,287,2,2006.0,216000.0,1,1,2,17.8,1399.0,68,5.0,1.45
182,109,5,2014.0,51000.0,1,0,0,22.5,1995.0,190,5.0,33.5
183,186,6,2007.0,118500.0,4,1,0,12.9,1598.0,102.5,5.0,1.25
184,1824,5,2012.0,63000.0,1,1,0,22.1,1199.0,73.9,5.0,4.2
185,1462,9,2015.0,25000.0,1,1,0,20.0,1461.0,108.5,8.0,6.75
186,1274,1,2014.0,37382.0,1,0,0,13.0,2143.0,201.1,5.0,32.0
187,976,7,2017.0,24773.0,4,1,0,21.4,1197.0,83.1,5.0,7.5
188,633,4,2012.0,62000.0,1,1,0,22.3,1582.0,126.32,5.0,4.6
189,695,7,2017.0,52340.0,4,1,0,19.8,1086.0,68.05,5.0,4.04
190,863,7,2016.0,56739.0,1,1,0,15.4,1997.0,120,7.0,10.31
191,811,3,2018.0,36091.0,1,0,0,12.7,2179.0,187.7,5.0,55.76
192,330,2,2010.0,120000.0,1,1,0,20.0,1399.0,68,5.0,2.6
193,1064,9,2016.0,33000.0,1,1,0,25.5,1248.0,88.5,7.0,8.5
194,417,0,2007.0,60006.0,4,1,0,25.8,1498.0,98.6,5.0,2.95
195,367,8,2014.0,52000.0,1,1,0,25.8,1498.0,98.6,5.0,3.5
196,694,6,2015.0,43571.0,4,1,0,20.4,1197.0,78.9,5.0,3.55
197,367,8,2013.0,50000.0,1,1,0,25.8,1498.0,98.6,5.0,3.25
198,1482,5,2008.0,113000.0,1,1,0,17.5,1896.0,106,5.0,4.5
199,1440,4,2014.0,90000.0,1,1,0,19.9,1461.0,83.8,5.0,5.35
200,854,2,2017.0,29000.0,1,1,2,17.5,1493.0,100,7.0,6.5
201,1185,9,2016.0,20000.0,1,1,0,24.3,1248.0,88.5,5.0,9.0
202,753,7,2016.0,61012.0,4,1,0,18.6,1197.0,81.83,5.0,6.0
203,1475,6,2009.0,87459.0,4,1,0,14.7,1390.0,85,5.0,2.75
204,1599,10,2010.0,70500.0,4,1,0,15.6,1193.0,64.1,5.0,1.5
205,44,4,2015.0,64103.0,1,0,0,15.7,1968.0,174.33,5.0,19.9
206,1502,9,2014.0,76000.0,4,0,0,14.7,1798.0,177.5,5.0,10.0
207,1720,4,2014.0,104000.0,1,1,0,23.6,1364.0,67.06,5.0,3.0
208,1120,8,2010.0,42001.0,4,1,0,16.1,1595.0,120.7,5.0,2.11
209,1239,7,2014.0,37245.0,4,0,0,14.8,1595.0,120.7,5.0,11.96
210,364,8,2013.0,45000.0,1,1,0,27.4,1498.0,98.6,5.0,3.25
211,633,6,2012.0,117837.0,1,1,2,22.3,1582.0,126.32,5.0,4.75
212,1443,9,2014.0,30000.0,1,1,0,20.5,1461.0,83.8,5.0,5.95
213,522,4,2015.0,27057.0,4,1,2,15.3,1591.0,67,5.0,8.15
214,1186,9,2016.0,8500.0,4,0,0,20.5,998.0,67,5.0,4.22
215,1329,8,2010.0,30500.0,4,0,0,11.7,1796.0,186,5.0,10.5
216,39,4,2012.0,56000.0,1,0,0,11.8,2967.0,246.7,5.0,45.0
217,695,10,2012.0,44000.0,4,1,2,19.8,1086.0,68.05,5.0,2.9
218,1525,9,2017.0,10500.0,4,0,0,14.3,1598.0,103.52,5.0,8.9
219,1553,5,2017.0,26000.0,4,0,0,14.7,1798.0,177.46,5.0,26.0
220,740,3,2018.0,25166.0,4,1,0,17.2,1197.0,81.86,5.0,8.22
221,378,8,2014.0,64000.0,1,1,2,25.8,1498.0,98.6,5.0,3.5
222,1196,2,2004.0,61000.0,4,1,2,18.9,998.0,67.1,5.0,1.25
223,910,5,2013.0,107000.0,1,1,0,21.0,1461.0,65,5.0,3.7
224,1325,3,2018.0,29161.0,1,0,0,19.3,2143.0,167.62,5.0,39.41
225,1207,8,2013.0,32000.0,4,1,0,22.5,998.0,67.04,5.0,2.65
226,1412,3,2015.0,46173.0,1,1,2,19.0,1461.0,108.5,5.0,8.92
227,1160,4,2013.0,47000.0,1,1,0,17.8,1248.0,189.08,5.0,4.1
228,1350,7,2017.0,26327.0,4,0,0,16.8,1998.0,189.08,4.0,35.67
229,324,1,2015.0,70436.0,1,1,0,17.2,1498.0,99,5.0,3.6
230,1573,6,2007.0,200000.0,1,1,2,17.2,1396.0,53.5,5.0,0.85
231,170,7,2016.0,60813.0,4,1,2,18.6,1199.0,76.8,5.0,3.32
232,1823,9,2012.0,45000.0,1,1,0,22.1,1199.0,73.9,5.0,3.6
233,1173,5,2016.0,64000.0,1,1,0,22.9,1248.0,74,5.0,6.8
234,326,8,2012.0,41284.0,1,1,0,20.0,1399.0,68.05,5.0,2.5
235,1777,7,2019.0,14165.0,1,0,0,11.4,2755.0,171.5,7.0,19.64
236,582,9,2011.0,67000.0,1,0,2,11.7,2199.0,194.3,7.0,7.0
237,459,8,2011.0,32572.0,4,1,0,17.4,1497.0,117.3,5.0,3.87
238,715,7,2018.0,14960.0,4,1,0,18.6,1197.0,81.83,5.0,6.27
239,1325,7,2015.0,55980.0,1,0,0,19.3,2143.0,167.62,5.0,18.12
240,167,9,2013.0,74000.0,1,1,0,25.4,936.0,57.6,5.0,2.65
241,765,7,2015.0,56847.0,1,1,0,22.5,1396.0,88.73,5.0,7.2
242,1766,3,2015.0,121374.0,1,1,0,13.0,2494.0,100.6,7.0,14.3
243,1059,2,2013.0,52000.0,1,1,0,20.8,1248.0,88.76,7.0,6.9
244,1759,9,2014.0,118000.0,1,1,0,12.8,2494.0,102,7.0,10.75
245,607,9,2007.0,72000.0,4,1,3,17.0,1086.0,117.3,5.0,0.95
246,450,7,2016.0,33915.0,4,1,0,17.8,1497.0,117.3,5.0,8.09
247,135,0,2014.0,82002.0,1,0,0,17.1,1995.0,184,5.0,18.5
248,568,9,2017.0,33000.0,1,1,0,24.0,1120.0,70,5.0,4.75
249,1016,2,2016.0,34000.0,1,1,0,28.1,1248.0,88.5,5.0,8.45
250,1537,8,2012.0,55000.0,1,1,0,20.5,1598.0,103.6,5.0,3.5
251,500,7,2006.0,160538.0,1,1,0,13.1,1493.0,82,5.0,1.8
252,1826,6,2014.0,60000.0,1,1,2,19.9,1498.0,103.6,5.0,3.7
253,476,3,2017.0,49575.0,4,1,0,18.7,1199.0,88.7,5.0,7.17
254,691,6,2010.0,83000.0,4,1,0,19.8,1086.0,68.05,5.0,1.75
255,616,7,2018.0,51346.0,1,0,0,16.4,1995.0,183,5.0,21.99
256,1775,10,2017.0,43000.0,1,1,0,13.7,2393.0,147.8,7.0,18.65
257,1084,6,2011.0,35000.0,4,1,3,19.7,796.0,35,5.0,1.85
258,1168,3,2017.0,27872.0,4,1,2,20.4,1197.0,81.8,5.0,5.95
259,574,9,2014.0,16514.0,4,1,0,18.9,1248.0,82,5.0,3.75
260,1159,10,2012.0,120000.0,1,1,0,22.9,1248.0,74,5.0,3.75
261,649,5,2008.0,143275.0,1,1,0,17.0,1582.0,126.2,5.0,2.6
262,601,5,2006.0,99000.0,4,1,0,17.0,1086.0,80,5.0,1.75
263,716,9,2010.0,52000.0,4,1,0,17.0,1197.0,80,5.0,2.8
264,1294,3,2017.0,29819.0,1,0,0,11.6,2987.0,254.79,5.0,61.29
265,1320,1,2014.0,57000.0,1,1,2,15.8,2148.0,170,5.0,18.0
266,1096,5,2014.0,88500.0,1,1,0,23.2,1248.0,73.94,5.0,4.35
267,511,1,2016.0,28000.0,1,1,0,19.7,1582.0,126.2,5.0,13.75
268,950,10,2010.0,67000.0,4,1,0,19.0,998.0,66.1,5.0,2.0
269,1430,4,2016.0,26000.0,1,1,0,19.6,1461.0,108.45,5.0,10.0
270,213,4,2010.0,120000.0,1,1,0,17.8,1248.0,76,5.0,1.65
271,145,3,2017.0,51982.0,1,0,0,16.6,2993.0,258,5.0,45.77
272,704,1,2010.0,36000.0,4,1,2,20.4,1197.0,78.9,5.0,3.25
273,1750,10,2016.0,47000.0,1,1,0,12.8,2494.0,102,7.0,12.8
274,1233,9,2002.0,60000.0,4,1,3,17.3,993.0,60,5.0,0.55
275,1159,5,2018.0,31025.0,1,1,0,28.4,1248.0,74,5.0,7.15
276,890,10,2013.0,105000.0,1,1,2,12.1,2179.0,120,8.0,7.0
277,1662,10,2017.0,121900.0,1,1,0,23.0,1248.0,74,5.0,3.75
278,236,9,2017.0,22695.0,4,1,0,18.9,999.0,123.24,5.0,8.5
279,1143,6,2012.0,73000.0,1,1,0,23.4,1248.0,74,5.0,4.35
280,956,7,2016.0,55000.0,4,1,0,22.7,796.0,47.3,5.0,3.26
281,419,6,2011.0,55000.0,4,1,0,17.0,1497.0,118,5.0,4.21
282,59,7,2018.0,11287.0,1,0,0,12.1,2967.0,241.4,7.0,70.36
283,1479,9,2009.0,48000.0,1,0,2,17.0,1896.0,105,5.0,2.95
284,637,7,2012.0,54308.0,4,1,0,17.1,1591.0,121.3,5.0,4.28
285,420,6,2009.0,78442.0,4,0,0,16.8,1497.0,118,5.0,3.57
286,763,8,2013.0,46000.0,1,1,0,21.9,1396.0,88.8,5.0,3.11
287,766,3,2014.0,45051.0,4,0,0,15.0,1396.0,98.6,5.0,5.96
288,1848,5,2011.0,69000.0,1,1,0,20.5,1598.0,103.6,5.0,4.7
289,451,0,2014.0,49000.0,4,1,0,17.4,1497.0,117.3,5.0,6.9
290,1662,10,2018.0,45000.0,1,1,0,23.0,1248.0,74,5.0,5.25
291,95,10,2015.0,64000.0,1,0,0,18.5,1995.0,177,5.0,28.0
292,1203,4,2009.0,60000.0,4,1,0,18.9,1061.0,67,5.0,1.35
293,488,4,2015.0,62178.0,4,1,0,18.2,1199.0,88.7,5.0,4.85
294,1801,3,2012.0,58006.0,1,1,0,15.0,1896.0,105,5.0,6.7
295,698,5,2010.0,74000.0,4,1,0,20.4,1197.0,78.9,5.0,3.1
296,1318,7,2015.0,77771.0,1,0,0,19.3,2143.0,170,5.0,18.64
297,699,10,2012.0,45275.0,4,1,0,20.4,1197.0,78.9,5.0,2.8
298,1775,2,2016.0,48000.0,1,1,0,13.7,2393.0,147.8,7.0,20.25
299,29,7,2015.0,31652.0,1,0,0,17.7,1968.0,174.33,5.0,26.78
300,1761,5,2010.0,109000.0,1,1,2,13.0,2494.0,100.6,7.0,8.26
301,1834,9,2015.0,31978.0,4,1,0,16.5,1198.0,73.9,5.0,3.89
302,961,5,2011.0,70000.0,4,1,0,18.0,998.0,67.1,5.0,2.1
303,457,9,2017.0,15000.0,4,0,0,18.0,1497.0,70,5.0,12.69
304,1594,3,2013.0,59138.0,1,1,0,17.0,1405.0,70,5.0,2.58
305,28,7,2014.0,61726.0,1,0,0,17.7,1968.0,174.33,5.0,20.77
306,1283,4,2015.0,48000.0,1,0,0,17.9,2143.0,136,5.0,20.26
307,601,2,2006.0,58000.0,4,1,2,17.8,1086.0,67.04,5.0,1.5
308,1160,8,2011.0,60020.0,1,1,0,17.8,1248.0,67.04,5.0,2.5
309,1005,5,2014.0,77815.0,4,0,0,23.1,998.0,67.04,5.0,4.25
310,1293,5,2017.0,29000.0,1,0,0,17.9,2143.0,201.15,5.0,57.0
311,820,4,2017.0,44000.0,1,0,0,12.7,2179.0,187.7,5.0,44.0
312,1849,5,2011.0,108626.0,1,1,0,20.5,1598.0,103.6,5.0,3.65
313,1081,5,2012.0,71791.0,4,1,0,14.0,796.0,35,5.0,2.05
314,388,7,2012.0,91931.0,4,1,0,18.5,1198.0,86.8,5.0,3.13
315,1644,5,2000.0,158000.0,1,1,2,14.1,2956.0,83.1,7.0,1.5
316,1580,10,2012.0,91183.0,1,1,0,18.0,1248.0,75,5.0,2.85
317,1197,4,2012.0,65000.0,4,1,0,18.9,998.0,67.1,5.0,2.65
318,925,5,2015.0,88428.0,1,1,0,16.0,2179.0,140,7.0,10.6
319,1593,10,2008.0,138000.0,1,1,2,17.1,1396.0,70,5.0,1.25
320,1056,9,2018.0,60000.0,4,1,0,16.0,1373.0,93.7,7.0,8.25
321,346,9,2011.0,60000.0,4,0,0,11.7,2354.0,177.6,5.0,4.45
322,1137,8,2012.0,48000.0,1,1,0,19.3,1248.0,73.9,5.0,3.7
323,302,5,2009.0,160000.0,1,1,0,17.8,1399.0,68,5.0,2.8
