CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2002,64.93455286
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1997,0.477516912
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1997,82.53099927
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,17927.41203
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1997,86.25091174
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1997,18.70274572
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1997,4.073930386
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1997,2.705929168
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1997,2.670905083
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,20433.65411
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2002,69.40044207
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2002,2.236520048
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2002,4.15775268
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2002,0.616713218
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2002,16.52031145
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1998,79.63770547
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2006,77.9736252
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,19081.57029
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2007,4.300250026
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1998,19.03345074
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1996,0.533570476
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1996,86.63967611
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,16586.1923
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1996,88.70445344
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1996,16.40729213
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1996,-3.089109793
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1996,2.756780791
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1996,3.509389552
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1998,83.62965448
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2007,0.449521757
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2007,65.91290906
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,25921.53823
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2007,76.45039785
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2007,22.68988481
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2012,0.447318552
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2007,12.46248902
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2007,0.384067624
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2006,22.11572254
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1995,0.556844548
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2006,1.490894631
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2004,0.425777821
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2005,4.213696288
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2013,0.514335276
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2000,0.444303703
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2000,74.38601095
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20619.56585
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2000,70.68686857
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2000,17.1485073
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2005,4.030863585
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2005,1.296975011
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,9.14274114
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2000,4.250128444
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2000,2.061653566
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2001,0.438174326
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2001,70.48791628
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1993,6.060134558
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2001,68.5340401
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2004,65.08040375
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2004,68.57283973
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2014,0.503969821
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1992,5.438724512
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2004,1.764478212
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2008,0.427988231
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2008,66.2606726
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,27549.88942
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2008,74.92661492
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2008,21.22143846
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2008,14.27570645
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1991,3.905174734
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2008,4.093829743
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2008,0.122432875
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2004,4.073783317
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2004,8.957724838
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2004,19.51436251
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,22566.68216
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2001,17.22342801
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,20671.54574
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1999,1.960580158
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2006,4.127277094
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2006,0.795579246
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2001,2.216120996
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2001,4.190179611
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2001,4.766220794
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1994,5.63427331
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1994,1.555352242
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1994,16.65141812
Aruba,ABW,Population growth (annual %),SP.POP.GROW,2010,0.178313751
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,17342.47194
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1994,80.42839143
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,1994,0.54894785
Aruba,ABW,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2010,0.498384331
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2010,61.50244839
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1994,75.55648887
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2010,74.81634252
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2010,16.38466734
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2010,4.548227785
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,1999,79.94915381
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,19356.42087
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,1999,84.64204993
Aruba,ABW,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,1999,16.97344481
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,24289.14152
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1999,-1.019211522
Aruba,ABW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,1999,3.930182014
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2010,13.76028053
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2006,0.359695642
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2011,0.496471161
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,39639.38602
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,18969.97799
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1998,1.499559182
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2010,0.46386081
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2011,12.56956275
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1998,-0.404577425
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2001,0.437773986
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2011,2.499729001
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2011,-2.510551958
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2011,3.533300884
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,41630.05258
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2010,1.600397014
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2000,3.603917444
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2010,-1.241974138
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1991,3.891303561
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1991,6.935151368
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,19530.8435
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1999,0.426399915
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1999,2.731977328
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,19323.89255
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,42417.22915
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2002,0.38739726
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,24175.37275
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2002,14.93315068
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2002,3.401064581
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2002,3.305753425
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2002,4.720793543
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2001,3.561265132
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2000,0.471933745
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21432.96007
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2000,14.25003286
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2000,29.22627832
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2000,1.911141835
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2001,3.290540826
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2001,2.769411911
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2001,14.50744397
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,21897.66294
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2010,3.610752705
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2006,16.45696245
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,18405.3201
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2012,0.568068119
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1994,3.879845102
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1994,2.755004086
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2005,16.15228819
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2005,3.100292816
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2005,3.3404929
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2005,3.61784254
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2009,0.401167725
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,42701.44714
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,16226.97108
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2009,14.71836427
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2009,3.323526165
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2009,-0.165994544
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2006,3.199407924
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1995,4.933128847
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1995,1.812614319
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2013,-4.399683922
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2013,3.164166418
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2013,-0.000194385
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2009,0.00010923
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2013,10.41931437
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,39990.33041
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,37235.45003
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2005,0.38324738
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2007,0.375712779
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,47253.5298
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2007,15.87104964
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2007,3.869916956
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2007,3.292690834
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,20541.7739
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1992,6.710767541
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2004,0.423552048
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1992,3.859344829
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,16508.87522
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1993,4.537239883
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1993,3.501404323
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2004,4.642944647
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2004,3.576567143
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2004,3.350340918
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2014,-4.19194055
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2004,15.84340068
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2007,1.789041541
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,42806.52255
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,18460.00743
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2003,5.126303185
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2013,0.523887556
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2008,0.414406103
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,46735.99957
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1997,-0.224232798
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1997,2.228158514
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2008,15.89789209
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2012,-3.724710143
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2008,1.980102507
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2008,0.865725022
Andorra,ADO,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2003,0.426948129
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,31742.99258
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2003,15.47663196
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2003,2.879202349
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2003,3.536823088
Andorra,ADO,Population growth (annual %),SP.POP.GROW,1996,0.682042521
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2008,3.422877267
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2006,3.319912737
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1996,0.797174559
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,19038.79883
Andorra,ADO,Population growth (annual %),SP.POP.GROW,2006,2.612605765
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,39666.36921
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2012,1.099966922
Andorra,ADO,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2012,11.19964062
Andorra,ADO,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2012,3.285892226
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2005,27.39525556
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2005,77.46714501
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2010,21.86234073
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,257.1757947
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2010,9.437794773
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2010,12.94328462
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2011,24.50744042
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2011,6.107274005
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2005,31.75099054
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2005,27.36021761
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2011,44.19394807
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,622.3796544
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2005,3.7586963
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2008,2.485314572
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2011,2.983978666
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2010,44.94347835
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2011,14.22243254
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,569.9407288
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2010,2.736885959
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2010,27.09154001
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2010,10.02384975
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2011,10.56113929
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2011,23.47175158
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2005,10.90026799
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,2005,16.93752863
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2003,4.639094454
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2003,43.55686929
Afghanistan,AFG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,2004,30.27167447
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,2004,33.99649426
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,224.9147122
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,2004,87.13932444
Afghanistan,AFG,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,2004,26.71254027
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2004,11.2427294
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2002,4.550804562
